"","times","mod","weather","variable","value"
"155",2020-08-02,"Real Data","1","Burgenland",0.0607987926886358
"156",2020-08-03,"Real Data","1","Burgenland",0.0573539893688847
"157",2020-08-04,"Real Data","1","Burgenland",0.0943487140957532
"158",2020-08-05,"Real Data","1","Burgenland",0.0890868799428238
"159",2020-08-06,"Real Data","1","Burgenland",0.0662439826861571
"160",2020-08-07,"Real Data","1","Burgenland",0.321791250985626
"161",2020-08-08,"Real Data","1","Burgenland",0.439251103031505
"162",2020-08-09,"Real Data","1","Burgenland",0.463357661278251
"163",2020-08-10,"Real Data","1","Burgenland",0.41155799842507
"164",2020-08-11,"Real Data","1","Burgenland",0.333075512444432
"165",2020-08-12,"Real Data","1","Burgenland",0.244261222739416
"166",2020-08-13,"Real Data","1","Burgenland",0.126834733430417
"167",2020-08-14,"Real Data","1","Burgenland",0.0927459647252817
"168",2020-08-15,"Real Data","1","Burgenland",0.0283692345117963
"169",2020-08-16,"Real Data","1","Burgenland",0.0332423117972083
"170",2020-08-17,"Real Data","1","Burgenland",0.0978652247984523
"171",2020-08-18,"Real Data","1","Burgenland",0.0558717692017163
"172",2020-08-19,"Real Data","1","Burgenland",0.174904532930716
"173",2020-08-20,"Real Data","1","Burgenland",0.165149373747055
"174",2020-08-21,"Real Data","1","Burgenland",0.120452281704193
"175",2020-08-22,"Real Data","1","Burgenland",0.135672949176544
"176",2020-08-23,"Real Data","1","Burgenland",0.425845202575138
"177",2020-08-24,"Real Data","1","Burgenland",0.270105962566419
"178",2020-08-25,"Real Data","1","Burgenland",0.138608749467762
"179",2020-08-26,"Real Data","1","Burgenland",0.0463128060273027
"180",2020-08-27,"Real Data","1","Burgenland",0
"181",2020-08-28,"Real Data","1","Burgenland",0.147108649006042
"182",2020-08-29,"Real Data","1","Burgenland",0.278803232787267
"183",2020-08-30,"Real Data","1","Burgenland",0.232558380914099
"184",2020-08-31,"Real Data","1","Burgenland",0.120910303750675
"185",2020-09-01,"Real Data","1","Burgenland",0.161481914946912
